deskripsi,category,source,deskripsi_clean,text_length
obat,kesehatan,df1,obat,4
perlengkapan rajutan,hiburan,df1,perlengkapan rajutan,20
kelas yoga,kesehatan,df1,kelas yoga,10
bunga,belanja,df1,bunga,5
elektronik,belanja,df1,elektronik,10
pasta gigi,belanja,df1,pasta gigi,10
tiket pesawat,transportasi,df1,tiket pesawat,13
makan malam bersama teman,hiburan,df1,makan malam teman,17
permainan anak-anak,belanja,df1,permainan anakanak,18
buah-buahan,makanan,df1,buahbuahan,10
pelatih pribadi,kesehatan,df1,pelatih pribadi,15
pakaian,belanja,df1,pakaian,7
makanan cepat saji,makanan,df1,makanan cepat saji,18
tagihan listrik,tagihan,df1,tagihan listrik,15
perhiasan,belanja,df1,perhiasan,9
tiket pesawat,transportasi,df1,tiket pesawat,13
layanan streaming,hiburan,df1,layanan streaming,17
makanan cepat saji,makanan,df1,makanan cepat saji,18
tiket pesawat,transportasi,df1,tiket pesawat,13
makan malam bersama teman,hiburan,df1,makan malam teman,17
permainan anak-anak,belanja,df1,permainan anakanak,18
perlengkapan seni,hiburan,df1,perlengkapan seni,17
pasta gigi,belanja,df1,pasta gigi,10
pasta gigi,belanja,df1,pasta gigi,10
gas,transportasi,df1,gas,3
tiket konser,hiburan,df1,tiket konser,12
makan malam bersama teman,hiburan,df1,makan malam teman,17
tagihan air,tagihan,df1,tagihan air,11
makan malam bersama teman,hiburan,df1,makan malam teman,17
pelatih pribadi,kesehatan,df1,pelatih pribadi,15
video game,hiburan,df1,video game,10
menginap di hotel,transportasi,df1,menginap hotel,14
tagihan listrik,tagihan,df1,tagihan listrik,15
pakaian,belanja,df1,pakaian,7
obat,kesehatan,df1,obat,4
obat,kesehatan,df1,obat,4
permainan anak-anak,belanja,df1,permainan anakanak,18
kelas yoga,kesehatan,df1,kelas yoga,10
permainan anak-anak,belanja,df1,permainan anakanak,18
pasta gigi,belanja,df1,pasta gigi,10
keanggotaan gimnasium,kesehatan,df1,keanggotaan gimnasium,21
menginap di hotel,transportasi,df1,menginap hotel,14
kelas yoga,kesehatan,df1,kelas yoga,10
sampo,belanja,df1,sampo,5
angkutan umum,transportasi,df1,angkutan umum,13
produk perawatan kulit,belanja,df1,produk perawatan kulit,22
layanan streaming,hiburan,df1,layanan streaming,17
tiket film,hiburan,df1,tiket film,10
makan malam bersama teman,hiburan,df1,makan malam teman,17
keanggotaan gimnasium,kesehatan,df1,keanggotaan gimnasium,21
roti,makanan,df1,roti,4
kelas yoga,kesehatan,df1,kelas yoga,10
makanan ringan,makanan,df1,makanan ringan,14
kartu hadiah,belanja,df1,kartu hadiah,12
menginap di hotel,transportasi,df1,menginap hotel,14
susu,makanan,df1,susu,4
video game,hiburan,df1,video game,10
bunga,belanja,df1,bunga,5
kelas yoga,kesehatan,df1,kelas yoga,10
perhiasan,belanja,df1,perhiasan,9
pasta gigi,belanja,df1,pasta gigi,10
peralatan latihan,kesehatan,df1,peralatan latihan,17
buah-buahan,makanan,df1,buahbuahan,10
produk perawatan kulit,belanja,df1,produk perawatan kulit,22
tiket konser,hiburan,df1,tiket konser,12
obat,kesehatan,df1,obat,4
roti,makanan,df1,roti,4
buku,hiburan,df1,buku,4
peralatan latihan,kesehatan,df1,peralatan latihan,17
buku,hiburan,df1,buku,4
tagihan air,tagihan,df1,tagihan air,11
produk perawatan kulit,belanja,df1,produk perawatan kulit,22
daging,makanan,df1,daging,6
bunga,belanja,df1,bunga,5
perlengkapan rajutan,hiburan,df1,perlengkapan rajutan,20
perlengkapan seni,hiburan,df1,perlengkapan seni,17
tiket film,hiburan,df1,tiket film,10
buah-buahan,makanan,df1,buahbuahan,10
perhiasan,belanja,df1,perhiasan,9
makanan cepat saji,makanan,df1,makanan cepat saji,18
makanan cepat saji,makanan,df1,makanan cepat saji,18
perlengkapan seni,hiburan,df1,perlengkapan seni,17
obat,kesehatan,df1,obat,4
perlengkapan seni,hiburan,df1,perlengkapan seni,17
sabun,belanja,df1,sabun,5
ruu gas,tagihan,df1,ruu gas,7
sepatu,belanja,df1,sepatu,6
kunjungan dokter,kesehatan,df1,kunjungan dokter,16
sepatu,belanja,df1,sepatu,6
pasta gigi,belanja,df1,pasta gigi,10
sampo,belanja,df1,sampo,5
kunjungan dokter,kesehatan,df1,kunjungan dokter,16
obat,kesehatan,df1,obat,4
layanan streaming,hiburan,df1,layanan streaming,17
buku,hiburan,df1,buku,4
sampo,belanja,df1,sampo,5
tiket film,hiburan,df1,tiket film,10
keanggotaan gimnasium,kesehatan,df1,keanggotaan gimnasium,21
kunjungan dokter,kesehatan,df1,kunjungan dokter,16
tagihan air,tagihan,df1,tagihan air,11
tagihan air,tagihan,df1,tagihan air,11
makanan ringan,makanan,df1,makanan ringan,14
tagihan air,tagihan,df1,tagihan air,11
menyewa,tagihan,df1,menyewa,7
sampo,belanja,df1,sampo,5
buah-buahan,makanan,df1,buahbuahan,10
makanan cepat saji,makanan,df1,makanan cepat saji,18
susu,makanan,df1,susu,4
ruu gas,tagihan,df1,ruu gas,7
kartu hadiah,belanja,df1,kartu hadiah,12
kelas yoga,kesehatan,df1,kelas yoga,10
pakaian,belanja,df1,pakaian,7
ayam,makanan,df1,ayam,4
menyewa,tagihan,df1,menyewa,7
tiket konser,hiburan,df1,tiket konser,12
makanan cepat saji,makanan,df1,makanan cepat saji,18
pelatih pribadi,kesehatan,df1,pelatih pribadi,15
susu,makanan,df1,susu,4
kartu hadiah,belanja,df1,kartu hadiah,12
buku,hiburan,df1,buku,4
menginap di hotel,transportasi,df1,menginap hotel,14
makanan cepat saji,makanan,df1,makanan cepat saji,18
pasta gigi,belanja,df1,pasta gigi,10
buku,hiburan,df1,buku,4
makanan ringan,makanan,df1,makanan ringan,14
makanan ringan,makanan,df1,makanan ringan,14
buku,hiburan,df1,buku,4
daging,makanan,df1,daging,6
sabun,belanja,df1,sabun,5
menyewa,tagihan,df1,menyewa,7
sabun,belanja,df1,sabun,5
keanggotaan gimnasium,kesehatan,df1,keanggotaan gimnasium,21
produk perawatan kulit,belanja,df1,produk perawatan kulit,22
buku,hiburan,df1,buku,4
menginap di hotel,transportasi,df1,menginap hotel,14
sampo,belanja,df1,sampo,5
perlengkapan rajutan,hiburan,df1,perlengkapan rajutan,20
produk perawatan kulit,belanja,df1,produk perawatan kulit,22
menyewa,tagihan,df1,menyewa,7
tiket konser,hiburan,df1,tiket konser,12
ruu gas,tagihan,df1,ruu gas,7
makanan ringan,makanan,df1,makanan ringan,14
makanan ringan,makanan,df1,makanan ringan,14
sabun,belanja,df1,sabun,5
kunjungan dokter,kesehatan,df1,kunjungan dokter,16
perlengkapan rajutan,hiburan,df1,perlengkapan rajutan,20
tiket konser,hiburan,df1,tiket konser,12
angkutan umum,transportasi,df1,angkutan umum,13
perlengkapan rajutan,hiburan,df1,perlengkapan rajutan,20
video game,hiburan,df1,video game,10
elektronik,belanja,df1,elektronik,10
sampo,belanja,df1,sampo,5
video game,hiburan,df1,video game,10
elektronik,belanja,df1,elektronik,10
sepatu,belanja,df1,sepatu,6
kunjungan dokter,kesehatan,df1,kunjungan dokter,16
perhiasan,belanja,df1,perhiasan,9
tiket konser,hiburan,df1,tiket konser,12
kunjungan dokter,kesehatan,df1,kunjungan dokter,16
tiket konser,hiburan,df1,tiket konser,12
tiket konser,hiburan,df1,tiket konser,12
tagihan air,tagihan,df1,tagihan air,11
daging,makanan,df1,daging,6
video game,hiburan,df1,video game,10
buah-buahan,makanan,df1,buahbuahan,10
tagihan air,tagihan,df1,tagihan air,11
kartu hadiah,belanja,df1,kartu hadiah,12
produk perawatan kulit,belanja,df1,produk perawatan kulit,22
ruu gas,tagihan,df1,ruu gas,7
pakaian,belanja,df1,pakaian,7
bunga,belanja,df1,bunga,5
ayam,makanan,df1,ayam,4
kartu hadiah,belanja,df1,kartu hadiah,12
perlengkapan rajutan,hiburan,df1,perlengkapan rajutan,20
tiket konser,hiburan,df1,tiket konser,12
ayam,makanan,df1,ayam,4
makanan ringan,makanan,df1,makanan ringan,14
video game,hiburan,df1,video game,10
perlengkapan seni,hiburan,df1,perlengkapan seni,17
sabun,belanja,df1,sabun,5
sampo,belanja,df1,sampo,5
makanan cepat saji,makanan,df1,makanan cepat saji,18
kunjungan dokter,kesehatan,df1,kunjungan dokter,16
menyewa,tagihan,df1,menyewa,7
sampo,belanja,df1,sampo,5
ruu gas,tagihan,df1,ruu gas,7
kunjungan dokter,kesehatan,df1,kunjungan dokter,16
pelatih pribadi,kesehatan,df1,pelatih pribadi,15
ruu gas,tagihan,df1,ruu gas,7
bunga,belanja,df1,bunga,5
susu,makanan,df1,susu,4
kartu hadiah,belanja,df1,kartu hadiah,12
perlengkapan rajutan,hiburan,df1,perlengkapan rajutan,20
sepatu,belanja,df1,sepatu,6
keanggotaan gimnasium,kesehatan,df1,keanggotaan gimnasium,21
video game,hiburan,df1,video game,10
perlengkapan rajutan,hiburan,df1,perlengkapan rajutan,20
kartu hadiah,belanja,df1,kartu hadiah,12
makanan ringan,makanan,df1,makanan ringan,14
susu,makanan,df1,susu,4
tagihan air,tagihan,df1,tagihan air,11
sabun,belanja,df1,sabun,5
sepatu,belanja,df1,sepatu,6
perhiasan,belanja,df1,perhiasan,9
keanggotaan gimnasium,kesehatan,df1,keanggotaan gimnasium,21
daging,makanan,df1,daging,6
keanggotaan gimnasium,kesehatan,df1,keanggotaan gimnasium,21
ayam,makanan,df1,ayam,4
makanan ringan,makanan,df1,makanan ringan,14
menyewa,tagihan,df1,menyewa,7
menyewa,tagihan,df1,menyewa,7
tagihan air,tagihan,df1,tagihan air,11
tagihan air,tagihan,df1,tagihan air,11
roti,makanan,df1,roti,4
daging,makanan,df1,daging,6
sabun,belanja,df1,sabun,5
video game,hiburan,df1,video game,10
menyewa,tagihan,df1,menyewa,7
makanan ringan,makanan,df1,makanan ringan,14
kartu hadiah,belanja,df1,kartu hadiah,12
tiket konser,hiburan,df1,tiket konser,12
perlengkapan rajutan,hiburan,df1,perlengkapan rajutan,20
roti,makanan,df1,roti,4
keanggotaan gimnasium,kesehatan,df1,keanggotaan gimnasium,21
sayuran,makanan,df1,sayuran,7
susu,makanan,df1,susu,4
sabun,belanja,df1,sabun,5
menyewa,tagihan,df1,menyewa,7
makanan ringan,makanan,df1,makanan ringan,14
buah-buahan,makanan,df1,buahbuahan,10
perlengkapan rajutan,hiburan,df1,perlengkapan rajutan,20
sayuran,makanan,df1,sayuran,7
perlengkapan rajutan,hiburan,df1,perlengkapan rajutan,20
perlengkapan seni,hiburan,df1,perlengkapan seni,17
roti,makanan,df1,roti,4
roti,makanan,df1,roti,4
keanggotaan gimnasium,kesehatan,df1,keanggotaan gimnasium,21
sabun,belanja,df1,sabun,5
ayam,makanan,df1,ayam,4
menyewa,tagihan,df1,menyewa,7
produk perawatan kulit,belanja,df1,produk perawatan kulit,22
keanggotaan gimnasium,kesehatan,df1,keanggotaan gimnasium,21
perlengkapan seni,hiburan,df1,perlengkapan seni,17
ruu gas,tagihan,df1,ruu gas,7
kartu hadiah,belanja,df1,kartu hadiah,12
makanan ringan,makanan,df1,makanan ringan,14
ruu gas,tagihan,df1,ruu gas,7
susu,makanan,df1,susu,4
sayuran,makanan,df1,sayuran,7
sabun,belanja,df1,sabun,5
menyewa,tagihan,df1,menyewa,7
daging,makanan,df1,daging,6
sabun,belanja,df1,sabun,5
makanan ringan,makanan,df1,makanan ringan,14
daging,makanan,df1,daging,6
makanan ringan,makanan,df1,makanan ringan,14
buah-buahan,makanan,df1,buahbuahan,10
makanan ringan,makanan,df1,makanan ringan,14
ayam,makanan,df1,ayam,4
sabun,belanja,df1,sabun,5
daging,makanan,df1,daging,6
perlengkapan seni,hiburan,df1,perlengkapan seni,17
perlengkapan rajutan,hiburan,df1,perlengkapan rajutan,20
produk perawatan kulit,belanja,df1,produk perawatan kulit,22
produk perawatan kulit,belanja,df1,produk perawatan kulit,22
buah-buahan,makanan,df1,buahbuahan,10
ruu gas,tagihan,df1,ruu gas,7
elektronik,belanja,df1,elektronik,10
susu,makanan,df1,susu,4
roti,makanan,df1,roti,4
sayuran,makanan,df1,sayuran,7
roti,makanan,df1,roti,4
susu,makanan,df1,susu,4
sayuran,makanan,df1,sayuran,7
elektronik,belanja,df1,elektronik,10
sayuran,makanan,df1,sayuran,7
sayuran,makanan,df1,sayuran,7
roti,makanan,df1,roti,4
susu,makanan,df1,susu,4
buah-buahan,makanan,df1,buahbuahan,10
ayam,makanan,df1,ayam,4
roti,makanan,df1,roti,4
susu,makanan,df1,susu,4
ayam,makanan,df1,ayam,4
elektronik,belanja,df1,elektronik,10
elektronik,belanja,df1,elektronik,10
buah-buahan,makanan,df1,buahbuahan,10
sayuran,makanan,df1,sayuran,7
ayam,makanan,df1,ayam,4
ayam,makanan,df1,ayam,4
elektronik,belanja,df1,elektronik,10
ayam,makanan,df1,ayam,4
daging,makanan,df1,daging,6
ayam,makanan,df1,ayam,4
ayam,makanan,df1,ayam,4
daging,makanan,df1,daging,6
buah-buahan,makanan,df1,buahbuahan,10
buah-buahan,makanan,df1,buahbuahan,10
susu,makanan,df1,susu,4
daging,makanan,df1,daging,6
buah-buahan,makanan,df1,buahbuahan,10
buah-buahan,makanan,df1,buahbuahan,10
buah-buahan,makanan,df1,buahbuahan,10
daging,makanan,df1,daging,6
daging,makanan,df1,daging,6
daging,makanan,df1,daging,6
daging,makanan,df1,daging,6
daging,makanan,df1,daging,6
parkir,tagihan,df2,parkir,6
iuran bulanan,tagihan,df2,iuran bulanan,13
lain-lain,lainnya,df2,lainlain,8
streaming,hiburan,df2,streaming,9
warung nasi,makanan,df2,warung nasi,11
internet,tagihan,df2,internet,8
gofood,makanan,df2,gofood,6
tissue,belanja,df2,tissue,6
alfamart,belanja,df2,alfamart,8
bioskop,hiburan,df2,bioskop,7
iuran bulanan,tagihan,df2,iuran bulanan,13
streaming,hiburan,df2,streaming,9
makan siang,makanan,df2,makan siang,11
tissue,belanja,df2,tissue,6
belanja mingguan,belanja,df2,belanja mingguan,16
lain-lain,lainnya,df2,lainlain,8
parkir,tagihan,df2,parkir,6
streaming,hiburan,df2,streaming,9
cemilan,makanan,df2,cemilan,7
belanja mingguan,belanja,df2,belanja mingguan,16
biaya admin,tagihan,df2,biaya admin,11
internet,tagihan,df2,internet,8
jajan sore,makanan,df2,jajan sore,10
top up game,hiburan,df2,top up game,11
biaya admin,tagihan,df2,biaya admin,11
lain-lain,lainnya,df2,lainlain,8
cemilan,makanan,df2,cemilan,7
cashback,tagihan,df2,cashback,8
gofood,makanan,df2,gofood,6
biaya admin,tagihan,df2,biaya admin,11
air,tagihan,df2,air,3
bpjs,tagihan,df2,bpjs,4
tissue,belanja,df2,tissue,6
streaming,hiburan,df2,streaming,9
jajan sore,makanan,df2,jajan sore,10
lain-lain,lainnya,df2,lainlain,8
belanja mingguan,belanja,df2,belanja mingguan,16
pulsa,tagihan,df2,pulsa,5
lain-lain,lainnya,df2,lainlain,8
kopi pagi,makanan,df2,kopi pagi,9
pulsa,tagihan,df2,pulsa,5
biaya admin,tagihan,df2,biaya admin,11
main ke mall,hiburan,df2,main mall,9
cashback,tagihan,df2,cashback,8
top up game,hiburan,df2,top up game,11
indomaret,belanja,df2,indomaret,9
makan malam,makanan,df2,makan malam,11
lain-lain,lainnya,df2,lainlain,8
main ke mall,hiburan,df2,main mall,9
bioskop,hiburan,df2,bioskop,7
kopi pagi,makanan,df2,kopi pagi,9
top up game,hiburan,df2,top up game,11
alfamart,belanja,df2,alfamart,8
makan siang,makanan,df2,makan siang,11
biaya admin,tagihan,df2,biaya admin,11
listrik,tagihan,df2,listrik,7
makan siang,makanan,df2,makan siang,11
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
makan siang,makanan,df2,makan siang,11
bioskop,hiburan,df2,bioskop,7
cemilan,makanan,df2,cemilan,7
parkir,tagihan,df2,parkir,6
makan malam,makanan,df2,makan malam,11
cemilan,makanan,df2,cemilan,7
kopi pagi,makanan,df2,kopi pagi,9
jajan sore,makanan,df2,jajan sore,10
iuran bulanan,tagihan,df2,iuran bulanan,13
main ke mall,hiburan,df2,main mall,9
lain-lain,lainnya,df2,lainlain,8
cemilan,makanan,df2,cemilan,7
indomaret,belanja,df2,indomaret,9
lain-lain,lainnya,df2,lainlain,8
biaya admin,tagihan,df2,biaya admin,11
lain-lain,lainnya,df2,lainlain,8
makan siang,makanan,df2,makan siang,11
biaya admin,tagihan,df2,biaya admin,11
internet,tagihan,df2,internet,8
lain-lain,lainnya,df2,lainlain,8
kopi pagi,makanan,df2,kopi pagi,9
lain-lain,lainnya,df2,lainlain,8
top up game,hiburan,df2,top up game,11
top up game,hiburan,df2,top up game,11
biaya admin,tagihan,df2,biaya admin,11
biaya admin,tagihan,df2,biaya admin,11
cemilan,makanan,df2,cemilan,7
streaming,hiburan,df2,streaming,9
streaming,hiburan,df2,streaming,9
internet,tagihan,df2,internet,8
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
lain-lain,lainnya,df2,lainlain,8
makan siang,makanan,df2,makan siang,11
internet,tagihan,df2,internet,8
lain-lain,lainnya,df2,lainlain,8
alfamart,belanja,df2,alfamart,8
top up game,hiburan,df2,top up game,11
indomaret,belanja,df2,indomaret,9
iuran bulanan,tagihan,df2,iuran bulanan,13
lain-lain,lainnya,df2,lainlain,8
cemilan,makanan,df2,cemilan,7
listrik,tagihan,df2,listrik,7
jajan sore,makanan,df2,jajan sore,10
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
lain-lain,lainnya,df2,lainlain,8
bioskop,hiburan,df2,bioskop,7
biaya admin,tagihan,df2,biaya admin,11
bioskop,hiburan,df2,bioskop,7
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
makan siang,makanan,df2,makan siang,11
biaya admin,tagihan,df2,biaya admin,11
gofood,makanan,df2,gofood,6
lain-lain,lainnya,df2,lainlain,8
top up game,hiburan,df2,top up game,11
kopi pagi,makanan,df2,kopi pagi,9
streaming,hiburan,df2,streaming,9
bpjs,tagihan,df2,bpjs,4
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
jajan sore,makanan,df2,jajan sore,10
kopi pagi,makanan,df2,kopi pagi,9
parkir,tagihan,df2,parkir,6
kopi pagi,makanan,df2,kopi pagi,9
lain-lain,lainnya,df2,lainlain,8
gofood,makanan,df2,gofood,6
listrik,tagihan,df2,listrik,7
gofood,makanan,df2,gofood,6
jajan sore,makanan,df2,jajan sore,10
streaming,hiburan,df2,streaming,9
makan malam,makanan,df2,makan malam,11
top up game,hiburan,df2,top up game,11
lain-lain,lainnya,df2,lainlain,8
tissue,belanja,df2,tissue,6
lain-lain,lainnya,df2,lainlain,8
tissue,belanja,df2,tissue,6
warung nasi,makanan,df2,warung nasi,11
listrik,tagihan,df2,listrik,7
kopi pagi,makanan,df2,kopi pagi,9
tissue,belanja,df2,tissue,6
makan siang,makanan,df2,makan siang,11
main ke mall,hiburan,df2,main mall,9
cemilan,makanan,df2,cemilan,7
indomaret,belanja,df2,indomaret,9
biaya admin,tagihan,df2,biaya admin,11
cemilan,makanan,df2,cemilan,7
pulsa,tagihan,df2,pulsa,5
warung nasi,makanan,df2,warung nasi,11
lain-lain,lainnya,df2,lainlain,8
warung nasi,makanan,df2,warung nasi,11
bioskop,hiburan,df2,bioskop,7
alfamart,belanja,df2,alfamart,8
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
belanja mingguan,belanja,df2,belanja mingguan,16
jajan sore,makanan,df2,jajan sore,10
iuran bulanan,tagihan,df2,iuran bulanan,13
biaya admin,tagihan,df2,biaya admin,11
makan malam,makanan,df2,makan malam,11
makan siang,makanan,df2,makan siang,11
indomaret,belanja,df2,indomaret,9
top up game,hiburan,df2,top up game,11
biaya admin,tagihan,df2,biaya admin,11
jajan sore,makanan,df2,jajan sore,10
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
top up game,hiburan,df2,top up game,11
biaya admin,tagihan,df2,biaya admin,11
alfamart,belanja,df2,alfamart,8
belanja mingguan,belanja,df2,belanja mingguan,16
streaming,hiburan,df2,streaming,9
kopi pagi,makanan,df2,kopi pagi,9
jajan sore,makanan,df2,jajan sore,10
listrik,tagihan,df2,listrik,7
makan malam,makanan,df2,makan malam,11
main ke mall,hiburan,df2,main mall,9
bpjs,tagihan,df2,bpjs,4
biaya admin,tagihan,df2,biaya admin,11
belanja mingguan,belanja,df2,belanja mingguan,16
belanja mingguan,belanja,df2,belanja mingguan,16
bioskop,hiburan,df2,bioskop,7
cemilan,makanan,df2,cemilan,7
alfamart,belanja,df2,alfamart,8
top up game,hiburan,df2,top up game,11
cashback,tagihan,df2,cashback,8
biaya admin,tagihan,df2,biaya admin,11
bpjs,tagihan,df2,bpjs,4
jajan sore,makanan,df2,jajan sore,10
pulsa,tagihan,df2,pulsa,5
gofood,makanan,df2,gofood,6
alfamart,belanja,df2,alfamart,8
gofood,makanan,df2,gofood,6
parkir,tagihan,df2,parkir,6
bioskop,hiburan,df2,bioskop,7
alfamart,belanja,df2,alfamart,8
internet,tagihan,df2,internet,8
alfamart,belanja,df2,alfamart,8
makan malam,makanan,df2,makan malam,11
internet,tagihan,df2,internet,8
main ke mall,hiburan,df2,main mall,9
main ke mall,hiburan,df2,main mall,9
parkir,tagihan,df2,parkir,6
internet,tagihan,df2,internet,8
biaya admin,tagihan,df2,biaya admin,11
top up game,hiburan,df2,top up game,11
top up game,hiburan,df2,top up game,11
cemilan,makanan,df2,cemilan,7
indomaret,belanja,df2,indomaret,9
bioskop,hiburan,df2,bioskop,7
air,tagihan,df2,air,3
bpjs,tagihan,df2,bpjs,4
tissue,belanja,df2,tissue,6
main ke mall,hiburan,df2,main mall,9
iuran bulanan,tagihan,df2,iuran bulanan,13
jajan sore,makanan,df2,jajan sore,10
listrik,tagihan,df2,listrik,7
pulsa,tagihan,df2,pulsa,5
iuran bulanan,tagihan,df2,iuran bulanan,13
kopi pagi,makanan,df2,kopi pagi,9
iuran bulanan,tagihan,df2,iuran bulanan,13
iuran bulanan,tagihan,df2,iuran bulanan,13
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
biaya admin,tagihan,df2,biaya admin,11
biaya admin,tagihan,df2,biaya admin,11
streaming,hiburan,df2,streaming,9
tissue,belanja,df2,tissue,6
listrik,tagihan,df2,listrik,7
iuran bulanan,tagihan,df2,iuran bulanan,13
parkir,tagihan,df2,parkir,6
warung nasi,makanan,df2,warung nasi,11
bioskop,hiburan,df2,bioskop,7
bioskop,hiburan,df2,bioskop,7
pulsa,tagihan,df2,pulsa,5
tissue,belanja,df2,tissue,6
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
main ke mall,hiburan,df2,main mall,9
cemilan,makanan,df2,cemilan,7
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
air,tagihan,df2,air,3
streaming,hiburan,df2,streaming,9
makan siang,makanan,df2,makan siang,11
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
warung nasi,makanan,df2,warung nasi,11
main ke mall,hiburan,df2,main mall,9
top up game,hiburan,df2,top up game,11
pulsa,tagihan,df2,pulsa,5
iuran bulanan,tagihan,df2,iuran bulanan,13
makan malam,makanan,df2,makan malam,11
indomaret,belanja,df2,indomaret,9
bpjs,tagihan,df2,bpjs,4
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
jajan sore,makanan,df2,jajan sore,10
main ke mall,hiburan,df2,main mall,9
listrik,tagihan,df2,listrik,7
listrik,tagihan,df2,listrik,7
indomaret,belanja,df2,indomaret,9
alfamart,belanja,df2,alfamart,8
parkir,tagihan,df2,parkir,6
top up game,hiburan,df2,top up game,11
bioskop,hiburan,df2,bioskop,7
alfamart,belanja,df2,alfamart,8
cemilan,makanan,df2,cemilan,7
iuran bulanan,tagihan,df2,iuran bulanan,13
pulsa,tagihan,df2,pulsa,5
makan malam,makanan,df2,makan malam,11
top up game,hiburan,df2,top up game,11
streaming,hiburan,df2,streaming,9
parkir,tagihan,df2,parkir,6
bioskop,hiburan,df2,bioskop,7
gofood,makanan,df2,gofood,6
makan siang,makanan,df2,makan siang,11
makan siang,makanan,df2,makan siang,11
top up game,hiburan,df2,top up game,11
bioskop,hiburan,df2,bioskop,7
pulsa,tagihan,df2,pulsa,5
belanja mingguan,belanja,df2,belanja mingguan,16
tissue,belanja,df2,tissue,6
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
makan siang,makanan,df2,makan siang,11
tissue,belanja,df2,tissue,6
indomaret,belanja,df2,indomaret,9
parkir,tagihan,df2,parkir,6
streaming,hiburan,df2,streaming,9
alfamart,belanja,df2,alfamart,8
tissue,belanja,df2,tissue,6
parkir,tagihan,df2,parkir,6
top up game,hiburan,df2,top up game,11
cashback,tagihan,df2,cashback,8
main ke mall,hiburan,df2,main mall,9
gofood,makanan,df2,gofood,6
gofood,makanan,df2,gofood,6
kopi pagi,makanan,df2,kopi pagi,9
belanja mingguan,belanja,df2,belanja mingguan,16
bioskop,hiburan,df2,bioskop,7
air,tagihan,df2,air,3
alfamart,belanja,df2,alfamart,8
makan siang,makanan,df2,makan siang,11
parkir,tagihan,df2,parkir,6
main ke mall,hiburan,df2,main mall,9
air,tagihan,df2,air,3
pulsa,tagihan,df2,pulsa,5
belanja mingguan,belanja,df2,belanja mingguan,16
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
main ke mall,hiburan,df2,main mall,9
bioskop,hiburan,df2,bioskop,7
listrik,tagihan,df2,listrik,7
iuran bulanan,tagihan,df2,iuran bulanan,13
kopi pagi,makanan,df2,kopi pagi,9
top up game,hiburan,df2,top up game,11
indomaret,belanja,df2,indomaret,9
internet,tagihan,df2,internet,8
alfamart,belanja,df2,alfamart,8
parkir,tagihan,df2,parkir,6
pulsa,tagihan,df2,pulsa,5
air,tagihan,df2,air,3
alfamart,belanja,df2,alfamart,8
cemilan,makanan,df2,cemilan,7
cemilan,makanan,df2,cemilan,7
bioskop,hiburan,df2,bioskop,7
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
listrik,tagihan,df2,listrik,7
bioskop,hiburan,df2,bioskop,7
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
top up game,hiburan,df2,top up game,11
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
parkir,tagihan,df2,parkir,6
belanja mingguan,belanja,df2,belanja mingguan,16
streaming,hiburan,df2,streaming,9
main ke mall,hiburan,df2,main mall,9
tissue,belanja,df2,tissue,6
alfamart,belanja,df2,alfamart,8
warung nasi,makanan,df2,warung nasi,11
indomaret,belanja,df2,indomaret,9
makan siang,makanan,df2,makan siang,11
main ke mall,hiburan,df2,main mall,9
streaming,hiburan,df2,streaming,9
pulsa,tagihan,df2,pulsa,5
makan malam,makanan,df2,makan malam,11
alfamart,belanja,df2,alfamart,8
indomaret,belanja,df2,indomaret,9
main ke mall,hiburan,df2,main mall,9
pulsa,tagihan,df2,pulsa,5
warung nasi,makanan,df2,warung nasi,11
listrik,tagihan,df2,listrik,7
makan siang,makanan,df2,makan siang,11
air,tagihan,df2,air,3
main ke mall,hiburan,df2,main mall,9
bioskop,hiburan,df2,bioskop,7
main ke mall,hiburan,df2,main mall,9
bioskop,hiburan,df2,bioskop,7
cemilan,makanan,df2,cemilan,7
streaming,hiburan,df2,streaming,9
parkir,tagihan,df2,parkir,6
parkir,tagihan,df2,parkir,6
listrik,tagihan,df2,listrik,7
streaming,hiburan,df2,streaming,9
bpjs,tagihan,df2,bpjs,4
makan malam,makanan,df2,makan malam,11
air,tagihan,df2,air,3
iuran bulanan,tagihan,df2,iuran bulanan,13
air,tagihan,df2,air,3
iuran bulanan,tagihan,df2,iuran bulanan,13
streaming,hiburan,df2,streaming,9
main ke mall,hiburan,df2,main mall,9
parkir,tagihan,df2,parkir,6
