text,category,amount
uang amplop nikahan,sosial,410516
belanja di shopee,belanja,366429
beli merchandise konser,hiburan,256967
naik mrt,transportasi,12417
shopeefood,makanan,249855
kursus data science,pendidikan,212949
bayar derek,transportasi,88444
langganan youtube premium family,hiburan,363970
beli wajan,belanja,27883
beli obat demam,kesehatan,106661
main ke bioskop,hiburan,24390
pengeluaran tidak terduga,lainnya,133862
nasi padang,makanan,204191
kopi susu,makanan,104724
bayar akulaku,tagihan,307047
belanja di shopee,belanja,198245
beli game steam,hiburan,402851
tiket kereta,transportasi,248787
beli ibuprofen,kesehatan,213739
patungan gathering,sosial,78555
biaya aplikasi,lainnya,91506
beli buku sekolah,pendidikan,107523
sewa bus pariwisata,transportasi,441167
cetak foto,lainnya,50627
bayar hosting web,tagihan,402069
ongkir shopee,lainnya,110863
beli laptop,belanja,358526
bayar gym membership,hiburan,456666
bayar cicilan mobil,tagihan,464411
naik becak,transportasi,449604
bayar tol,transportasi,243769
tiket kereta,transportasi,67681
iuran warga,sosial,281674
bayar wifi,tagihan,245996
beli obat anak,kesehatan,442843
fotocopy,lainnya,135625
biaya kuliah,pendidikan,301671
naik becak,transportasi,108303
grabfood,makanan,361263
beli sandal,belanja,246931
bayar tol,transportasi,353251
beli sampo,belanja,235242
iuran warga,sosial,176593
vaksin influenza,kesehatan,104514
kasih hadiah,sosial,383762
patungan gathering,sosial,66314
nongkrong di kafe bareng teman,sosial,135110
bayar hosting web,tagihan,102680
kursus ai,pendidikan,91168
beli vitamin d,kesehatan,188560
ikut workshop,pendidikan,261018
naik kapal ferry,transportasi,233619
cicilan motor,tagihan,495226
tes urine,kesehatan,16197
tes antigen,kesehatan,247086
beli token listrik,tagihan,198125
bayar wifi indihome,tagihan,282868
beli lauk,makanan,290706
beli sepatu sneakers,belanja,338134
bayar bpjs kesehatan,kesehatan,406686
beli rak sepatu,belanja,159785
beli pulsa telkomsel,tagihan,97009
beli tiket pesawat,transportasi,181368
kado ulang tahun teman,sosial,390870
bayar derek,transportasi,406392
bayar air,tagihan,327792
bayar derek,transportasi,162455
kado ulang tahun teman,sosial,142548
biaya kuliah,pendidikan,235803
bayar bpjs kesehatan,kesehatan,306863
makan malam bersama teman,sosial,376143
rawat jalan,kesehatan,432314
cicilan motor,tagihan,475308
tiket kapal laut,transportasi,456671
langganan netflix,hiburan,209710
bootcamp ui ux,pendidikan,162273
beli vitamin c,kesehatan,212495
terapi pijat,kesehatan,329075
kado ulang tahun teman,sosial,314106
beli kemeja kerja,belanja,143652
patungan makan,sosial,209855
beli earphone,belanja,74289
thai tea,makanan,458302
cek mata,kesehatan,362110
iuran warga,sosial,455552
naik gojek,transportasi,118447
bayar derek,transportasi,443162
es kopi susu gula aren,makanan,282317
naik ojek pangkalan,transportasi,365512
donasi masjid,sosial,486699
beli hampers,sosial,358433
nasi padang,makanan,119629
les privat bahasa inggris,pendidikan,463028
les calistung,pendidikan,346330
terapi pijat,kesehatan,372934
tiket kereta,transportasi,215973
bayar bpjs kesehatan,kesehatan,438805
bayar internet,tagihan,120788
tiket kapal laut,transportasi,497968
parkir motor,transportasi,445667
medical check up,kesehatan,45044
siomay,makanan,261170
terapi pijat,kesehatan,304712
bayar bpjs kesehatan,tagihan,436677
lontong sayur,makanan,400976
belanja di tokopedia,belanja,68662
kursus data science,pendidikan,393746
ongkir shopee,lainnya,87367
biaya tak terduga,lainnya,485856
kursus coding,pendidikan,61107
soto ayam,makanan,287789
beli obat demam,kesehatan,43897
tiket dufan,hiburan,346379
bakso solo,makanan,72314
ukt kuliah,pendidikan,404164
uang amplop nikahan,sosial,312759
biaya tukang,lainnya,36224
biaya tak terduga,lainnya,410815
beli sandal,belanja,280749
medical check up,kesehatan,400541
donasi masjid,sosial,111073
ongkir shopee,lainnya,420153
bayar wifi biznet,tagihan,261286
ongkir shopee,lainnya,63992
beli paracetamol,kesehatan,192822
beli game steam,hiburan,38082
beli manga,hiburan,214042
beli kemeja kerja,belanja,349803
service ac,lainnya,484188
bayar internet,tagihan,487618
rental mobil,transportasi,204427
beli dispenser,belanja,385947
nongkrong di kafe bareng teman,sosial,199953
uang amplop nikahan,sosial,41137
beli buku pelajaran,pendidikan,172200
sedekah,sosial,266925
beli manga,hiburan,200042
beli rak sepatu,belanja,136123
kasih hadiah,sosial,136276
tiket konser musik,hiburan,19778
les privat bahasa inggris,pendidikan,419565
traktir teman makan,sosial,233056
cetak foto,lainnya,108678
beli lauk,makanan,61673
seblak,makanan,214400
healing ke pantai,hiburan,248501
tiket kereta,transportasi,473203
ganti oli gardan,transportasi,300090
iuran keamanan,sosial,103905
bayar cicilan mobil,tagihan,343636
naik krl,transportasi,327915
bayar cicilan motor,tagihan,381752
kursus excel,pendidikan,176115
laundry express,lainnya,168026
biaya notaris,lainnya,205539
langganan udemy,pendidikan,231412
beli merchandise konser,hiburan,313169
indomie goreng,makanan,212505
belanja di tokopedia,belanja,374742
bayar tol,transportasi,131540
ikut workshop,pendidikan,300441
traktir teman makan,sosial,150397
tiket kapal laut,transportasi,472675
spp sekolah,pendidikan,173120
biaya laundry kiloan,lainnya,451946
rawat inap rs,kesehatan,271594
naik ojek pangkalan,transportasi,150391
nasi padang,makanan,224794
beli obat di apotek,kesehatan,163030
naik grab,transportasi,411686
ganti oli gardan,transportasi,140451
bayar cicilan motor,tagihan,177818
bayar parkir,transportasi,331241
es kopi susu gula aren,makanan,162284
tiket lion air,transportasi,436138
laundry,lainnya,124282
beli kemeja kerja,belanja,476286
bayar cicilan mobil,tagihan,302680
beli game steam,hiburan,332691
biaya admin bank,lainnya,341935
gado gado,makanan,456296
patungan gathering,sosial,486654
beli buku pelajaran,pendidikan,262217
mie sedaap,makanan,86516
pijat refleksi,kesehatan,247594
bayar karaoke,hiburan,230044
bayar kredivo,tagihan,298856
fotocopy ktp,lainnya,360039
beli vitamin d,kesehatan,168865
beli charger hp,belanja,208762
bayar kost bulanan,tagihan,185632
kelas online,pendidikan,85815
beli rak sepatu,belanja,288216
beli merchandise konser,hiburan,96797
patungan gathering,sosial,88349
biaya praktikum kampus,pendidikan,84183
medical check up,kesehatan,383107
service ac,lainnya,407046
bayar parkir,transportasi,253282
beli paket data,tagihan,383221
jajanan pasar,makanan,226333
bayar potong rambut,lainnya,434080
beli susu lansia,kesehatan,230787
biaya operasi,kesehatan,116204
nonton konser,hiburan,49886
beli buku sekolah,pendidikan,76368
bayar potong rambut,lainnya,453057
sewa motor harian,transportasi,238787
bayar token,tagihan,110988
bayar akulaku,tagihan,312668
beli kemeja kerja,belanja,153289
biaya tak terduga,lainnya,147583
beli kemeja kerja,belanja,335313
kondangan nikahan teman,sosial,286222
tiket kapal laut,transportasi,391420
nasi goreng,makanan,9883
ikut workshop,pendidikan,273666
bayar denda,lainnya,487782
bayar token,tagihan,284099
beli parfum lokal,belanja,394619
kasih uang ke orang tua,sosial,317925
ukt kuliah,pendidikan,64710
top up higgs domino,hiburan,85445
beli game steam,hiburan,40249
cilok,makanan,40631
top up free fire,hiburan,276634
isi saldo e-toll,transportasi,422452
beli obat di apotek,kesehatan,312433
kopi susu,makanan,433126
beli vitamin d,kesehatan,220382
biaya laundry kiloan,lainnya,205810
beli token listrik,tagihan,131178
bayar pajak kendaraan,transportasi,154075
tes antigen,kesehatan,319787
bayar tol,transportasi,135123
healing ke pantai,hiburan,27824
ongkir shopee,lainnya,393468
bayar cicilan motor,tagihan,206103
belanja di shopee,belanja,221660
bayar kartu kredit bca,tagihan,154192
beli piring,belanja,448413
service mobil,transportasi,15162
kursus mengaji,pendidikan,265716
nonton konser,hiburan,240889
biaya kuliah,pendidikan,230766
beli buku tulis,lainnya,60395
kondangan nikahan teman,sosial,372749
biaya notaris,lainnya,30243
beli buah apel,makanan,386967
isi bensin pertashop,transportasi,317542
bayar wifi indihome,tagihan,392284
print dokumen,lainnya,496094
cetak foto,lainnya,341522
beli laptop pelajar,pendidikan,316325
naik becak,transportasi,423456
bayar tol,transportasi,159264
bayar bpjs kesehatan,kesehatan,67906
bayar microsoft 365,tagihan,83087
bayar denda,lainnya,221002
rawat jalan,kesehatan,371204
biaya praktikum kampus,pendidikan,226840
beli laptop pelajar,pendidikan,81511
beli manga,hiburan,30510
bayar indihome,tagihan,149519
kado ulang tahun teman,sosial,269989
bayar kartu kredit bca,tagihan,50475
rental mobil,transportasi,317890
bayar air,tagihan,249001
bayar cicilan motor,tagihan,76970
potong rambut,lainnya,192845
isi angin ban,transportasi,11430
tiket lion air,transportasi,469590
belanja di indomaret,makanan,87920
uang amplop nikahan,sosial,159949
main ke bioskop,hiburan,247053
medical check up,kesehatan,99815
medical check up,kesehatan,117298
belanja di tokopedia,belanja,493978
kondangan nikahan teman,sosial,341370
isi bensin pertamax,transportasi,133368
beli manga,hiburan,131124
bayar arisan,sosial,102720
cetak foto,lainnya,159428
rawat jalan,kesehatan,95470
beli game steam,hiburan,403807
jalan jalan,hiburan,253197
bayar potong rambut,lainnya,189146
service ac,lainnya,172519
donasi,sosial,254984
isi bensin pertamax,transportasi,400435
beli vitamin c,kesehatan,440063
bayar token,tagihan,78285
martabak manis,makanan,46833
rawat inap rs,kesehatan,168852
laundry,lainnya,79502
beli buku pelajaran,pendidikan,423216
biaya sekolah,pendidikan,85856
ayam geprek,makanan,204295
bayar karaoke,hiburan,242787
shopeefood,makanan,259615
beli mesin kopi,belanja,346845
beli pulpen,lainnya,320825
bayar akulaku,tagihan,329920
beli sabun mandi,belanja,267391
bayar wifi indihome,tagihan,184477
service mobil,transportasi,43840
bayar listrik pln,tagihan,299852
kursus mengaji,pendidikan,430877
belanja di tokopedia,belanja,327779
bayar listrik pln,tagihan,57532
beli iphone,belanja,362459
lontong sayur,makanan,240202
bayar karaoke,hiburan,68883
top up steam wallet,hiburan,21326
biaya kuliah,pendidikan,243725
ketoprak,makanan,464469
beli parfum,belanja,426649
beli buku sekolah,pendidikan,321104
print dokumen,lainnya,166665
tes antigen,kesehatan,360581
patungan makan,sosial,433400
beli pulsa telkomsel,tagihan,366884
nonton konser,hiburan,448296
pijat refleksi,kesehatan,376981
roti canai,makanan,365795
fotocopy ktp,lainnya,95282
tiket kapal laut,transportasi,315627
beli samsung,belanja,368176
bayar cicilan mobil,tagihan,173384
beli pulsa telkomsel,tagihan,496473
bayar cicilan mobil,tagihan,464665
langganan spotify premium,hiburan,87879
fotocopy ktp,lainnya,275149
sedekah jumat,sosial,308003
belanja di shopee,belanja,92223
pengeluaran tidak terduga,lainnya,417610
top up mobile legends,hiburan,136389
ongkos tambahan,lainnya,164496
bayar bpjs kesehatan,kesehatan,121167
iuran warga,sosial,418298
camping di gunung,hiburan,436666
beli merchandise konser,hiburan,419962
langganan spotify family,hiburan,102542
healing ke pantai,hiburan,276447
bayar pdam,tagihan,346992
periksa ke dokter umum,kesehatan,316972
beli vitamin d,kesehatan,452108
donasi,sosial,282775
naik kapal ferry,transportasi,85113
sewa bus pariwisata,transportasi,164297
biaya operasi,kesehatan,61603
beli charger hp,belanja,206109
sewa elf,transportasi,211580
warteg,makanan,61834
ikan bakar,makanan,132400
kasih uang ke orang tua,sosial,187754
cicilan motor,tagihan,356976
beli vitamin c,kesehatan,167310
mie sedaap,makanan,133393
isi angin ban,transportasi,255467
kursus ai,pendidikan,230682
naik mrt,transportasi,275245
beli game steam,hiburan,28244
beli vitamin d,kesehatan,351584
rendang,makanan,467115
isi bensin pertashop,transportasi,432298
thai tea,makanan,144883
beli mesin kopi,belanja,85725
biaya tukang,lainnya,427686
makan seafood,makanan,229231
nongkrong di kafe bareng teman,sosial,281974
bayar tol,transportasi,315429
top up mobile legends,hiburan,242000
top up higgs domino,hiburan,468599
cicilan motor,tagihan,225390
bayar gym membership,hiburan,345556
cicilan motor,tagihan,426345
biaya tukang,lainnya,482523
beli buah jeruk,makanan,310402
naik mrt,transportasi,400037
beli buku sekolah,pendidikan,416271
beli vitamin ibu hamil,kesehatan,409277
les calistung,pendidikan,169880
isi bensin pertashop,transportasi,169582
beli wajan,belanja,497334
kontrol dokter,kesehatan,267860
fotocopy ktp,lainnya,84235
belanja di alfamart,makanan,313944
bimbingan belajar,pendidikan,240440
beli payung,belanja,258934
kasih hadiah,sosial,315216
rawat inap rs,kesehatan,55627
iuran keamanan,sosial,323204
donasi masjid,sosial,92022
tiket lion air,transportasi,119735
bayar listrik pln,tagihan,9858
warung padang,makanan,308657
beli ibuprofen,kesehatan,312476
laundry,lainnya,19788
tes urine,kesehatan,429171
top up higgs domino,hiburan,182009
beli manga,hiburan,213684
rawat jalan,kesehatan,458115
pempek,makanan,87540
belanja tiktok shop,belanja,108714
bayar internet,tagihan,200887
fisioterapi,kesehatan,14558
bayar token,tagihan,236651
les calistung,pendidikan,367958
beli parfum lokal,belanja,127381
bayar air,tagihan,316397
tes antigen,kesehatan,189363
beli obat demam,kesehatan,64584
ganti oli gardan,transportasi,248606
bayar akulaku,tagihan,361906
bayar spp,pendidikan,341432
ganti oli motor,transportasi,160898
beli parfum,belanja,460921
beli vacuum cleaner,belanja,350600
beli samsung,belanja,424070
biaya kuliah,pendidikan,206245
boba,makanan,40337
beli dispenser,belanja,437139
rental mobil,transportasi,253085
bayar pdam,tagihan,362947
pengeluaran tidak terduga,lainnya,26144
rawat jalan,kesehatan,170747
patungan makan,sosial,197708
potong rambut,lainnya,135994
beli vacuum cleaner,belanja,419190
vaksin influenza,kesehatan,118020
uang semester,pendidikan,80597
bayar indihome,tagihan,55688
bayar microsoft 365,tagihan,281914
biaya transfer antar bank,lainnya,349386
uang amplop nikahan,sosial,189305
cek mata,kesehatan,336027
sewa bus pariwisata,transportasi,397128
main ke bioskop,hiburan,479641
bayar hosting web,tagihan,117190
biaya laundry kiloan,lainnya,216274
donasi masjid,sosial,212399
senam terapi,kesehatan,308808
bayar wifi,tagihan,494644
naik becak,transportasi,49457
bayar wifi biznet,tagihan,286364
bayar bpjs kesehatan,tagihan,169496
nongkrong di kafe bareng teman,sosial,167480
tiket dufan,hiburan,386423
jalan jalan,hiburan,66740
kondangan nikahan teman,sosial,134911
beli dispenser,belanja,265428
beli vitamin c,kesehatan,456993
gofood,makanan,462266
spp sekolah,pendidikan,221955
beli mesin kopi,belanja,339783
mie ayam,makanan,201038
donasi masjid,sosial,368872
beli buah jeruk,makanan,465703
bayar paylater,tagihan,179609
biaya tukang,lainnya,146253
bayar kredivo,tagihan,67197
bayar wifi indihome,tagihan,147151
traktir teman makan,sosial,403461
potong rambut,lainnya,201790
biaya sekolah,pendidikan,134284
beli buku tulis,lainnya,23166
tiket bioskop xxi,hiburan,337952
beli pulsa telkomsel,tagihan,40279
beli parfum,belanja,494815
beli buah jeruk,makanan,119987
kondangan nikahan teman,sosial,150473
ongkos tambahan,lainnya,332727
isi angin ban,transportasi,363748
bayar spp,pendidikan,186329
bayar akulaku,tagihan,305352
ongkir shopee,lainnya,143483
beli susu lansia,kesehatan,364354
kasih uang ke orang tua,sosial,369224
bayar cicilan mobil,tagihan,219364
kursus excel,pendidikan,392839
bootcamp programming,pendidikan,104867
tiket lion air,transportasi,209198
beli payung,belanja,204234
bayar wifi indihome,tagihan,369994
bimbel online,pendidikan,234725
bayar cicilan motor,tagihan,396820
ayam geprek,makanan,461402
camping di gunung,hiburan,148946
donasi,sosial,432407
checkout shopee,belanja,235847
beli iphone,belanja,193197
service ac,lainnya,302612
bayar token,tagihan,334790
kondangan nikahan teman,sosial,255452
bayar hosting web,tagihan,85313
bimbel online,pendidikan,360016
ayam geprek,makanan,55819
iuran keamanan,sosial,476940
bayar kost bulanan,tagihan,373019
beli pulsa telkomsel,tagihan,14928
donasi masjid,sosial,201698
beli sepatu sneakers,belanja,122807
checkout tokopedia,belanja,155048
tiket bioskop xxi,hiburan,420270
les calistung,pendidikan,367654
beli paket data,tagihan,361695
biaya notaris,lainnya,373054
beli mesin kopi,belanja,257968
kasih hadiah,sosial,245364
vaksin influenza,kesehatan,455052
cek mata,kesehatan,53063
isi bensin pertalite,transportasi,134647
bayar indihome,tagihan,386607
patungan makan,sosial,74197
liburan keluarga,hiburan,26597
warung nasi,makanan,53896
checkout shopee,belanja,411608
bootcamp ui ux,pendidikan,204145
beli manga,hiburan,234088
indomie goreng,makanan,428167
langganan udemy,pendidikan,491997
biaya sekolah,pendidikan,433078
fotocopy,lainnya,459656
periksa ke dokter umum,kesehatan,349318
fisioterapi,kesehatan,166934
senam terapi,kesehatan,273617
beli buku pelajaran,pendidikan,301223
biaya sekolah,pendidikan,285881
bayar arisan,sosial,431633
bayar karaoke,hiburan,451358
roti canai,makanan,442314
top up higgs domino,hiburan,80323
bayar potong rambut,lainnya,348297
kursus mengaji,pendidikan,132266
ukt kuliah,pendidikan,36693
tiket konser musik,hiburan,458670
beli sampo,belanja,22112
periksa ke dokter umum,kesehatan,37439
ayam rica rica,makanan,286137
tiket kereta,transportasi,404103
bayar bpjs kesehatan,tagihan,434065
biaya transfer antar bank,lainnya,144736
tiket lion air,transportasi,194890
healing ke pantai,hiburan,317863
liburan ke bali,hiburan,432507
kado ulang tahun teman,sosial,187412
main arcade,hiburan,339338
langganan youtube premium family,hiburan,344162
pecel lele,makanan,136659
naik kapal ferry,transportasi,102071
tiket kereta,transportasi,151621
biaya praktikum kampus,pendidikan,384670
tiket konser musik,hiburan,207462
beli ibuprofen,kesehatan,134889
beli charger hp,belanja,239119
beli piring,belanja,207416
traktir teman makan,sosial,488013
siomay,makanan,215325
beli sandal,belanja,250732
periksa ke dokter umum,kesehatan,45456
beli laptop pelajar,pendidikan,147131
ganti oli motor,transportasi,481317
tiket dufan,hiburan,24199
beli game steam,hiburan,129117
iuran keamanan,sosial,358016
beli vitamin d,kesehatan,241981
print dokumen,lainnya,448799
langganan spotify family,hiburan,324228
beli vitamin d,kesehatan,449613
top up mobile legends,hiburan,185775
biaya aplikasi,lainnya,260433
bayar potong rambut,lainnya,304772
les privat bahasa inggris,pendidikan,145751
service ac,lainnya,43027
medical check up,kesehatan,195787
bayar arisan,sosial,295934
beli samsung,belanja,271464
les privat bahasa inggris,pendidikan,56215
beli susu lansia,kesehatan,283125
belanja tiktok shop,belanja,244561
sedekah jumat,sosial,103020
beli pulsa telkomsel,tagihan,178152
isi bensin pertashop,transportasi,355323
cilok,makanan,250392
beli hampers,sosial,302701
beli merchandise konser,hiburan,179024
senam terapi,kesehatan,295564
nonton konser,hiburan,276245
service ac,lainnya,122040
bayar bpjs kesehatan,kesehatan,458114
beli buah apel,makanan,227077
beli kaos polos,belanja,175065
ganti oli gardan,transportasi,309079
seblak,makanan,226208
biaya operasi,kesehatan,278390
biaya sertifikasi,pendidikan,22733
belanja tiktok shop,belanja,430411
beli ibuprofen,kesehatan,417506
parkir motor,transportasi,168073
martabak manis,makanan,119137
gado gado,makanan,56332
bayar tol,transportasi,414591
isi bensin pertalite,transportasi,450422
bayar wifi,tagihan,400531
fisioterapi,kesehatan,486263
liburan ke bali,hiburan,394707
ukt kuliah,pendidikan,295570
beli vitamin c,kesehatan,250849
beli pulpen,lainnya,470531
beli merchandise konser,hiburan,291039
cicilan motor,tagihan,415467
potong rambut,lainnya,432968
beli laptop pelajar,pendidikan,415342
cicilan mobil,tagihan,463518
bayar kartu kredit bca,tagihan,129205
traktir teman makan,sosial,149102
biaya praktikum kampus,pendidikan,336823
laundry express,lainnya,459806
naik mrt,transportasi,155425
bayar derek,transportasi,203771
kursus mengaji,pendidikan,289235
bayar listrik pln,tagihan,481020
beli air fryer,belanja,236118
bayar arisan,sosial,200719
biaya tukang,lainnya,171753
top up steam wallet,hiburan,89917
langganan youtube premium family,hiburan,397448
top up higgs domino,hiburan,361724
biaya praktikum kampus,pendidikan,435389
jajanan pasar,makanan,468883
main ke bioskop,hiburan,249230
pengeluaran tidak terduga,lainnya,82305
langganan spotify premium,hiburan,152511
beli skincare,belanja,230803
bayar air,tagihan,21891
gado gado,makanan,120141
patungan makan,sosial,317984
bayar gym membership,hiburan,431512
kursus ai,pendidikan,337346
ikut workshop,pendidikan,495082
langganan netflix,hiburan,479930
nasi goreng,makanan,403774
laundry express,lainnya,389824
bayar bpjs kesehatan,kesehatan,356279
ganti oli gardan,transportasi,487144
les calistung,pendidikan,121011
tes urine,kesehatan,492107
biaya operasi,kesehatan,382270
top up mobile legends,hiburan,39470
ganti oli gardan,transportasi,329229
beli sandal,belanja,403652
warung nasi,makanan,402833
rawat inap rs,kesehatan,63138
top up mobile legends,hiburan,366031
donasi,sosial,264373
mie sedaap,makanan,189101
makan malam bersama teman,sosial,493844
ganti oli motor,transportasi,487104
top up steam wallet,hiburan,366635
bayar paylater,tagihan,46434
beli sandal,belanja,410037
gado gado,makanan,158709
beli game steam,hiburan,449947
beli skincare,belanja,179294
beli vitamin c,kesehatan,173879
ukt kuliah,pendidikan,92209
indomie goreng,makanan,74445
fisioterapi,kesehatan,463021
beli vitamin ibu hamil,kesehatan,496783
spooring balancing,transportasi,5212
beli tiket kai,transportasi,99079
top up steam wallet,hiburan,421125
bayar bpjs kesehatan,kesehatan,413482
bimbingan belajar,pendidikan,162424
isi bensin pertashop,transportasi,180735
shopeefood,makanan,104829
sedekah,sosial,275529
bayar denda,lainnya,403193
rawat jalan,kesehatan,332429
beli dispenser,belanja,461338
beli susu lansia,kesehatan,458767
tes antigen,kesehatan,65384
kasih uang ke orang tua,sosial,174274
warung padang,makanan,216089
bimbingan belajar,pendidikan,267559
beli buku sekolah,pendidikan,483544
vaksin influenza,kesehatan,305993
bayar arisan,sosial,178533
bantu keluarga,sosial,455868
belanja di indomaret,makanan,370214
sedekah,sosial,475437
bayar hosting web,tagihan,432687
bayar denda,lainnya,78737
jalan jalan,hiburan,130393
kursus online,pendidikan,9954
laundry,lainnya,210311
iuran keamanan,sosial,300326
bayar bpjs kesehatan,tagihan,201946
kasih uang ke orang tua,sosial,53772
belanja tiktok shop,belanja,372566
beli pulpen,lainnya,21295
beli obat demam,kesehatan,316251
biaya tak terduga,lainnya,296479
bayar akulaku,tagihan,386368
ganti oli gardan,transportasi,109401
kondangan nikahan teman,sosial,40867
bayar potong rambut,lainnya,471393
bayar cicilan mobil,tagihan,310377
naik grab,transportasi,445330
bootcamp ui ux,pendidikan,266777
kursus online,pendidikan,416239
belanja di alfamart,makanan,294239
beli paket data,tagihan,134767
kontrol dokter,kesehatan,240025
biaya tukang,lainnya,433545
isi saldo e-toll,transportasi,382358
jalan jalan,hiburan,60670
laundry,lainnya,360223
bayar wifi indihome,tagihan,264848
beli manga,hiburan,327359
cek mata,kesehatan,470615
main arcade,hiburan,172413
checkout shopee,belanja,89318
beli susu lansia,kesehatan,38322
ganti oli motor,transportasi,74908
naik kapal ferry,transportasi,499974
rawat inap rs,kesehatan,242841
beli sabun mandi,belanja,360343
beli susu lansia,kesehatan,392341
traktir teman makan,sosial,303883
bayar paylater,tagihan,38428
kasih hadiah,sosial,71548
uang semester,pendidikan,278208
beli parfum lokal,belanja,413059
top up higgs domino,hiburan,382819
beli charger hp,belanja,133029
camping di gunung,hiburan,320859
bayar wifi indihome,tagihan,315203
potong rambut,lainnya,383555
periksa ke dokter umum,kesehatan,405640
bootcamp programming,pendidikan,498185
vaksin influenza,kesehatan,373416
beli game steam,hiburan,171213
spp sekolah,pendidikan,145722
iuran keamanan,sosial,361506
beli buku tulis,lainnya,329138
beli buah jeruk,makanan,234690
beli wajan,belanja,312935
nongkrong di kafe bareng teman,sosial,388218
beli manga,hiburan,205725
biaya operasi,kesehatan,341959
naik kapal ferry,transportasi,206315
tebus resep,kesehatan,428216
beli merchandise konser,hiburan,357594
beli charger hp,belanja,491367
beli parfum lokal,belanja,444530
bayar potong rambut,lainnya,251910
kursus ai,pendidikan,457040
bayar kost bulanan,tagihan,283886
periksa ke dokter umum,kesehatan,296698
top up mobile legends,hiburan,201562
donasi,sosial,25880
bayar bpjs kesehatan,tagihan,282265
mie sedaap,makanan,355737
thai tea,makanan,198738
patungan gathering,sosial,182080
laundry express,lainnya,97042
laundry express,lainnya,141834
traktir teman makan,sosial,99028
nongkrong di kafe bareng teman,sosial,265124
batagor,makanan,58587
checkout shopee,belanja,222549
periksa ke dokter umum,kesehatan,179777
bayar pdam,tagihan,28744
belanja tiktok shop,belanja,324858
bayar wifi biznet,tagihan,35270
cilok,makanan,18912
biaya praktikum kampus,pendidikan,114916
beli pulpen,lainnya,338545
kursus coding,pendidikan,230957
main arcade,hiburan,265845
beli sepatu sneakers,belanja,451570
beli power bank,belanja,420565
kursus data science,pendidikan,256139
bayar cicilan mobil,tagihan,384207
boba,makanan,38568
belanja tiktok shop,belanja,147882
parkir motor,transportasi,327707
biaya sekolah,pendidikan,58598
bayar listrik pln,tagihan,439516
langganan youtube premium family,hiburan,179335
beli paket data,tagihan,75028
biaya laundry kiloan,lainnya,300827
shopeefood,makanan,120574
pijat refleksi,kesehatan,228490
beli buah apel,makanan,466826
kelas online,pendidikan,439143
bayar arisan,sosial,48343
tes antigen,kesehatan,447723
les privat matematika,pendidikan,113610
donasi masjid,sosial,485171
beli iphone,belanja,204767
beli token listrik,tagihan,142129
isi angin ban,transportasi,175401
bayar microsoft 365,tagihan,169465
isi bensin pertamax,transportasi,324622
ketoprak,makanan,134087
langganan spotify family,hiburan,13515
lontong sayur,makanan,178617
cek mata,kesehatan,43530
biaya aplikasi,lainnya,301511
uang amplop nikahan,sosial,48215
bayar potong rambut,lainnya,89360
tes antigen,kesehatan,45229
bayar spp,pendidikan,81505
tiket kapal laut,transportasi,285947
makan all you can eat,makanan,182892
isi bensin pertashop,transportasi,475711
periksa ke dokter umum,kesehatan,73153
kursus data science,pendidikan,477526
naik kapal ferry,transportasi,440458
spp sekolah,pendidikan,440831
bayar indihome,tagihan,91264
bootcamp programming,pendidikan,450352
kelas online,pendidikan,22250
bayar wifi biznet,tagihan,162176
bayar gym membership,hiburan,104527
tiket kapal laut,transportasi,258859
main ke bioskop,hiburan,127684
naik krl,transportasi,235619
bayar tol,transportasi,215086
bayar cicilan mobil,tagihan,197698
bayar denda,lainnya,24903
kursus mengaji,pendidikan,302158
bayar potong rambut,lainnya,265113
bayar akulaku,tagihan,181743
beli laptop,belanja,323276
biaya tukang,lainnya,112767
tes urine,kesehatan,326689
beli game steam,hiburan,292731
les calistung,pendidikan,232493
beli piring,belanja,431542
uang amplop nikahan,sosial,44232
lontong sayur,makanan,74369
nongkrong di kafe bareng teman,sosial,304649
biaya operasi,kesehatan,166700
naik grab,transportasi,148096
bayar paylater,tagihan,128890
bayar wifi indihome,tagihan,36591
beli skincare korea,belanja,227460
beli hampers,sosial,123589
belanja tiktok shop,belanja,143702
top up mobile legends,hiburan,386200
siomay,makanan,233796
tiket lion air,transportasi,178477
mie sedaap,makanan,407967
nongkrong di kafe bareng teman,sosial,422164
laundry,lainnya,310490
seblak,makanan,295414
langganan ruangguru,pendidikan,59155
makan malam bersama teman,sosial,391603
nongkrong di kafe bareng teman,sosial,307696
beli merchandise konser,hiburan,43883
patungan makan,sosial,473794
traktir teman makan,sosial,455200
biaya operasi,kesehatan,181561
beli payung,belanja,202766
top up steam wallet,hiburan,265153
donasi,sosial,112890
shopeefood,makanan,425602
biaya laundry kiloan,lainnya,123616
kado ulang tahun teman,sosial,456066
main arcade,hiburan,238366
makan malam bersama teman,sosial,133215
tebus resep,kesehatan,177259
biaya sertifikasi,pendidikan,431328
camping di gunung,hiburan,46380
donasi masjid,sosial,65810
ongkos tambahan,lainnya,152599
servis rem mobil,transportasi,223195
kursus online,pendidikan,35792
biaya aplikasi,lainnya,51812
bayar derek,transportasi,237035
naik becak,transportasi,117041
bimbel online,pendidikan,10530
biaya tukang,lainnya,487889
bayar wifi indihome,tagihan,492115
cek mata,kesehatan,24717
bayar spp,pendidikan,223931
bayar karaoke,hiburan,341544
sedekah,sosial,230040
