Note,Category
Herbal Essences face wash,Beauty
Easter gift for kids,Gift
Pet leash from Chewy,Pet
Monthly utility fee for apartment,Household
Uber fare for night out,Transportation
Holiday potluck with coworkers,Social Life
Gourmet food from Whole Foods,Food
Nike casual wear,Apparel
Course fee for online learning,Education
Allowance for shopping trips,Allowance
Time management seminar,Education
Cetaphil face lotion,Beauty
Baby shower gift for colleague,Gift
Pet grooming kit from Petco,Pet
Monthly rent for loft apartment,Household
Train fare for work commute,Transportation
Community dinner party,Social Life
Breakfast from Panera Bread,Food
Puma athletic gear,Apparel
Lab fee for college,Education
Allowance for new clothes,Allowance
Life coaching class,Education
Neutrogena facial cleanser,Beauty
Gift for friend's wedding,Gift
Pet water fountain from Chewy,Pet
Monthly cleaning bill,Household
Daily ride-hailing fare,Transportation
Friends' get-together at restaurant,Social Life
Lunch at family diner,Food
H&M casual wear,Apparel
Fee for summer school course,Education
Allowance for daily commute,Allowance
Mindfulness meditation class,Education
Kiehl's hydrating cream,Beauty
Christmas gift for family,Gift
Pet grooming set from Petco,Pet
Electricity bill for home,Household
Daily commute via bike,Transportation
Friday night social event,Social Life
Dinner from Blue Apron,Food
Columbia winter gear,Apparel
Fee for online certification,Education
Allowance for streaming services,Allowance
Inspirational speech event,Education
Burt's Bees face wash,Beauty
Gift for colleague's retirement,Gift
Pet dental kit from PetSmart,Pet
Monthly utility bill,Household
Daily tram ride fare,Transportation
Company holiday party at hotel,Social Life
Lunch from local café,Food
Adidas fashion accessories,Apparel
Course registration for summer school,Education
Allowance for hobby supplies,Allowance
Career development workshop,Education
L'Oreal face scrub,Beauty
New Year's gift for colleague,Gift
Pet grooming appointment at vet,Pet
Home repair fee,Household
Taxi fare for office party,Transportation
Neighborhood block party,Social Life
Dinner at family restaurant,Food
Nike sports jacket,Apparel
Tuition fee for professional course,Education
Allowance for weekend travels,Allowance
Career coaching seminar,Education
Clarins face cream,Beauty
Graduation gift for niece,Gift
Pet leash from PetSmart,Pet
Monthly rent for condo,Household
Daily bus fare for commute,Transportation
Friends' night out at club,Social Life
Breakfast at local diner,Food
Ralph Lauren fashion wear,Apparel
Enrollment fee for college course,Education
Allowance for weekend fun,Allowance
Self-development workshop,Education
Neutrogena hydrating lotion,Beauty
Gift for friend's housewarming,Gift
Pet food dispenser from PetSmart,Pet
Monthly utility bill for apartment,Household
Scooter ride fare for commute,Transportation
Dinner party with friends,Social Life
Gourmet meal at local restaurant,Food
Tommy Hilfiger casual wear,Apparel
Fee for professional workshop,Education
Allowance for daily expenses,Allowance
Motivational webinar,Education
Nivea face moisturizer,Beauty
Gift for mother's birthday,Gift
Pet health products from Petco,Pet
Monthly rent payment,Household
Train ticket for weekend trip,Transportation
Friends' gathering at pub,Social Life
Dinner at upscale bistro,Food
Levi's winter collection,Apparel
Course registration for professional course,Education
Allowance for daily needs,Allowance
Career growth seminar,Education
Garnier face lotion,Beauty
Christmas gift for coworker,Gift
Pet grooming set from Chewy,Pet
Monthly utility payment for house,Household
Taxi fare for work commute,Transportation
Holiday potluck with colleagues,Social Life
Healthy snacks from local market,Food
Nike athletic wear,Apparel
Lab fee for research course,Education
Allowance for weekend activities,Allowance
Self-improvement book club,Education
Cetaphil face wash,Beauty
Baby shower gift for friend,Gift
Pet leash from Amazon,Pet
Monthly utility bill payment,Household
Daily tram fare for commute,Transportation
Office team-building event at hotel,Social Life
Dinner reservation at family restaurant,Food
H&M fashion wear,Apparel
Fee for online course registration,Education
Allowance for new books,Allowance
Inspirational podcast subscription,Education
Kiehl's face moisturizer,Beauty
Christmas gift for boss,Gift
Pet health checkup at Petco,Pet
Monthly rent for villa,Household
Uber fare for night out,Transportation
Friends' dinner at local diner,Social Life
Healthy meal from local deli,Food
Puma casual wear,Apparel
Fee for certification exam,Education
Allowance for movie tickets,Allowance
Career advancement workshop,Education
Biore face scrub,Beauty
Gift for colleague's promotion,Gift
Pet food from Chewy,Pet
Home maintenance bill for house,Household
Daily commute via scooter,Transportation
Weekend brunch with friends at café,Social Life
Farm-fresh groceries from local market,Food
Gap fashion accessories,Apparel
Fee for academic workshop,Education
Allowance for daily commute,Allowance
Self-awareness seminar,Education
Dove face cream,Beauty
Gift for grandparent's anniversary,Gift
Pet grooming set from Petco,Pet
Monthly utility bill payment for condo,Household
Train fare for daily commute to work,Transportation
Community dinner party at local park,Social Life
Lunch at local bistro,Food
Under Armour athletic wear,Apparel
Course registration for professional development,Education
Allowance for family outings,Allowance
Mindfulness meditation class,Education
Herbal Essences shampoo,Beauty
Gift card for niece's birthday,Gift
Pet water fountain from Amazon,Pet
Monthly utility bill for apartment,Household
Uber fare for daily commute to work,Transportation
Dinner with friends at local restaurant,Social Life
Lunch at Panera Bread,Food
Levi's casual wear,Apparel
Fee for summer school course,Education
Allowance for weekend travels,Allowance
Career coaching class,Education
Neutrogena facial cleanser,Beauty
Gift for friend's wedding,Gift
Pet leash from Petco,Pet
Monthly utility payment for townhouse,Household
Daily commute via bike share,Transportation
Office dinner at local bistro,Social Life
Dinner from Blue Apron,Food
Columbia hiking boots,Apparel
Fee for online certification course,Education
Allowance for streaming services,Allowance
Self-development workshop registration,Education
Burt's Bees face wash,Beauty
Gift for colleague's retirement party,Gift
Pet grooming appointment at Petco,Pet
Monthly rent for downtown studio,Household
Train fare for business trip,Transportation
Friends' night out at club,Social Life
Healthy meal from local café,Food
Ralph Lauren fashion wear,Apparel
Course registration for summer school,Education
Allowance for gym membership,Allowance
Career growth seminar registration,Education
Nivea face cream,Beauty
Gift for sister's housewarming,Gift
Pet health products from Chewy,Pet
Monthly utility payment for house,Household
Taxi fare for office commute,Transportation
Holiday potluck with friends,Social Life
Healthy snacks from local market,Food
Nike sportswear,Apparel
Lab fee for college course,Education
Allowance for daily needs,Allowance
Self-improvement seminar,Education
Clarins facial serum,Beauty
Gift for friend's promotion,Gift
Pet leash from Amazon,Pet
Monthly rent for loft apartment,Household
Uber fare for weekend outing,Transportation
Neighborhood barbecue at local park,Social Life
Gourmet meal from local restaurant,Food
Tommy Hilfiger fashion accessories,Apparel
Tuition fee for professional certification,Education
Allowance for weekend activities,Allowance
Inspirational book club subscription,Education
Cetaphil face moisturizer,Beauty
Gift for parent's anniversary,Gift
Pet grooming kit from PetSmart,Pet
Monthly utility bill payment for apartment,Household
Daily train fare for work commute,Transportation
Friends' gathering at local café,Social Life
Breakfast from Panera Bread,Food
Puma training gear,Apparel
Fee for academic conference registration,Education
Allowance for family entertainment,Allowance
Career advancement webinar,Education
Kiehl's facial cleanser,Beauty
Christmas present for family,Gift
Pet health checkup at vet,Pet
Monthly utility payment for condo,Household
Taxi fare for night out with friends,Transportation
Office team-building event at hotel,Social Life
Dinner reservation at local diner,Food
H&M casual wear,Apparel
Fee for online course,Education
Allowance for new clothes,Allowance
Mindfulness meditation workshop,Education
Neutrogena face wash,Beauty
Gift for friend's housewarming party,Gift
Pet care products from Petco,Pet
Monthly utility bill for house,Household
Daily commute via bike share program,Transportation
Weekend outing with family at park,Social Life
Dinner at family restaurant,Food
Levi's fashion apparel,Apparel
Fee for professional workshop,Education
Allowance for movie nights,Allowance
Motivational speech seminar,Education
Garnier face mask,Beauty
New Year gift for colleague,Gift
Pet grooming set from Chewy,Pet
Monthly utility payment for studio apartment,Household
Train ticket for business travel,Transportation
Community dinner party at local park,Social Life
Lunch at local diner,Food
Ralph Lauren fashion wear,Apparel
Course registration for professional development,Education
Allowance for weekend fun,Allowance
Career coaching webinar,Education
Dove face cream,Beauty
Gift for sister's wedding,Gift
Pet leash from PetSmart,Pet
Monthly rent payment for townhouse,Household
Uber fare for daily work commute,Transportation
Friends' night out at local bar,Social Life
Gourmet food from local market,Food
Gap fashion wear,Apparel
Fee for online learning course,Education
Allowance for daily needs,Allowance
Self-improvement book purchase,Education
Nivea face moisturizer,Beauty
Gift for colleague's promotion,Gift
Pet health products from Chewy,Pet
Monthly utility bill for condo,Household
Daily tram ride fare for work,Transportation
Office team-building event at local hotel,Social Life
Dinner reservation at local restaurant,Food
Nike athletic gear,Apparel
Tuition fee for academic course,Education
Allowance for tech gadgets,Allowance
Career growth workshop registration,Education
Clarins face cream,Beauty
Christmas gift for boss,Gift
Pet grooming appointment at vet,Pet
Monthly utility payment for apartment,Household
Taxi fare for weekend outing with friends,Transportation
Holiday potluck with colleagues,Social Life
Healthy snacks from local market,Food
Columbia winter wear,Apparel
Fee for academic conference registration,Education
Allowance for family activities,Allowance
Self-awareness seminar registration,Education
Burt's Bees face lotion,Beauty
Gift card for niece's birthday,Gift
Pet leash from Amazon,Pet
Monthly utility bill for townhouse,Household
Daily commute via bike share program,Transportation
Friends' gathering at local café,Social Life
Lunch from local deli,Food
Puma athletic wear,Apparel
Fee for online course registration,Education
Allowance for weekend fun,Allowance
Mindfulness meditation workshop registration,Education
Cetaphil face cleanser,Beauty
Baby shower gift for colleague,Gift
Pet grooming set from Petco,Pet
Monthly rent payment for villa,Household
Train fare for daily commute to work,Transportation
Community potluck dinner at local park,Social Life
Dinner at family diner,Food
Levi's winter collection,Apparel
Course registration fee for online learning,Education
Allowance for daily needs,Allowance
Inspirational podcast subscription,Education
Kiehl's face moisturizer,Beauty
Christmas gift for colleague,Gift
Pet health checkup at Petco,Pet
Monthly utility bill for condo,Household
Uber fare for night out with friends,Transportation
Office dinner at local hotel,Social Life
Lunch at local café,Food
Under Armour training gear,Apparel
Fee for academic workshop registration,Education
Allowance for weekend activities,Allowance
Career coaching seminar registration,Education
Neutrogena face wash,Beauty
New Year gift for boss,Gift
Pet grooming kit from Chewy,Pet
Monthly utility payment for house,Household
Daily bus fare for commute,Transportation
Friends' night out at local club,Social Life
Healthy food from local deli,Food
Ralph Lauren casual wear,Apparel
Fee for professional certification course,Education
Allowance for tech gadgets,Allowance
Self-development workshop registration,Education
Dove face cream,Beauty
Gift for parent's anniversary,Gift
Pet leash from PetSmart,Pet
Monthly utility payment for apartment,Household
Daily tram fare for work commute,Transportation
Neighborhood barbecue at local park,Social Life
Dinner reservation at family diner,Food
Nike athletic wear,Apparel
Fee for online learning platform,Education
Allowance for daily needs,Allowance
Inspirational podcast subscription,Education
Clarins face moisturizer,Beauty
Gift for friend's wedding,Gift
Pet grooming set from Chewy,Pet
Monthly utility bill for condo,Household
Taxi fare for night out with friends,Transportation
Office social event at local restaurant,Social Life
Lunch from local deli,Food
Columbia winter collection,Apparel
Fee for academic conference registration,Education
Allowance for weekend activities,Allowance
Self-awareness seminar registration,Education
Burt's Bees face lotion,Beauty
Gift for sister's housewarming,Gift
Pet leash from Amazon,Pet
Monthly utility payment for townhouse,Household
Daily tram ride fare for work commute,Transportation
Community dinner party at local park,Social Life
Dinner at family restaurant,Food
Gap fashion wear,Apparel
Fee for online learning platform,Education
Allowance for new clothes,Allowance
Mindfulness meditation workshop registration,Education
Cetaphil face cleanser,Beauty
Gift card for niece's birthday,Gift
Pet leash from Petco,Pet
Monthly rent payment for loft apartment,Household
Uber fare for weekend outing with friends,Transportation
Friends' gathering at local café,Social Life
Lunch at local diner,Food
Puma casual wear,Apparel
Fee for academic course registration,Education
Allowance for daily needs,Allowance
Inspirational podcast subscription,Education
Nivea face moisturizer,Beauty
Gift for colleague's promotion,Gift
Pet grooming set from Chewy,Pet
Monthly utility bill payment for apartment,Household
Train fare for business travel,Transportation
Neighborhood block party at local park,Social Life
Dinner reservation at local restaurant,Food
Levi's fashion accessories,Apparel
Fee for professional certification course,Education
Allowance for weekend activities,Allowance
Self-development workshop registration,Education
Kiehl's face cleanser,Beauty
Christmas present for colleague,Gift
Pet health checkup at Petco,Pet
Monthly utility payment for townhouse,Household
Uber fare for daily work commute,Transportation
Friends' night out at local club,Social Life
Healthy snacks from local market,Food
Tommy Hilfiger fashion wear,Apparel
Course registration fee for online learning,Education
Allowance for weekend fun,Allowance
Career growth seminar registration,Education
Neutrogena face wash,Beauty
Gift for friend's housewarming party,Gift
Pet leash from PetSmart,Pet
Monthly utility bill for apartment,Household
Daily tram fare for work commute,Transportation
Friends' night out at local club,Social Life
Healthy food from local deli,Food
Ralph Lauren casual wear,Apparel
Fee for professional certification course,Education
Allowance for tech gadgets,Allowance
Self-development workshop registration,Education
Dove face cream,Beauty
Gift for parent's anniversary,Gift
Pet leash from Petco,Pet
Monthly utility payment for apartment,Household
Daily tram fare for work commute,Transportation
Neighborhood barbecue at local park,Social Life
Dinner reservation at family diner,Food
Nike athletic wear,Apparel
Fee for online learning platform,Education
Allowance for daily needs,Allowance
Inspirational podcast subscription,Education
Clarins face moisturizer,Beauty
Gift for friend's wedding,Gift
Pet grooming set from Chewy,Pet
Monthly utility bill for condo,Household
Taxi fare for night out with friends,Transportation
Office social event at local restaurant,Social Life
Lunch from local deli,Food
Columbia winter collection,Apparel
Fee for academic conference registration,Education
Allowance for weekend activities,Allowance
Self-awareness seminar registration,Education
Burt's Bees face lotion,Beauty
Gift for sister's housewarming,Gift
Pet leash from Amazon,Pet
Monthly utility payment for townhouse,Household
Daily tram ride fare for work commute,Transportation
Community dinner party at local park,Social Life
Dinner at family restaurant,Food
Gap fashion wear,Apparel
Fee for online learning platform,Education
Allowance for new clothes,Allowance
Mindfulness meditation workshop registration,Education
Cetaphil face cleanser,Beauty
Gift card for niece's birthday,Gift
Pet leash from Petco,Pet
Monthly rent payment for loft apartment,Household
Uber fare for weekend outing with friends,Transportation
Friends' gathering at local café,Social Life
Lunch at local diner,Food
Puma casual wear,Apparel
Fee for academic course registration,Education
Allowance for daily needs,Allowance
Inspirational podcast subscription,Education
Nivea face moisturizer,Beauty
Gift for colleague's promotion,Gift
Pet grooming set from Chewy,Pet
Monthly utility bill payment for apartment,Household
Train fare for business travel,Transportation
Neighborhood block party at local park,Social Life
Dinner reservation at local restaurant,Food
Levi's fashion accessories,Apparel
Fee for professional certification course,Education
Allowance for weekend activities,Allowance
Self-development workshop registration,Education
Kiehl's face cleanser,Beauty
Christmas present for colleague,Gift
Pet health checkup at Petco,Pet
Monthly utility payment for townhouse,Household
Uber fare for daily work commute,Transportation
Friends' night out at local club,Social Life
Healthy snacks from local market,Food
Tommy Hilfiger fashion wear,Apparel
Course registration fee for online learning,Education
Allowance for weekend fun,Allowance
Career growth seminar registration,Education
Neutrogena face wash,Beauty
Gift for friend's housewarming party,Gift
Pet leash from PetSmart,Pet
Monthly utility bill for apartment,Household
Daily tram fare for work commute,Transportation
Friends' night out at local club,Social Life
Healthy food from local deli,Food
Ralph Lauren casual wear,Apparel
Fee for professional certification course,Education
Allowance for tech gadgets,Allowance
Self-development workshop registration,Education
Dove face cream,Beauty
Gift for parent's anniversary,Gift
Pet leash from Petco,Pet
Monthly utility payment for apartment,Household
Daily tram fare for work commute,Transportation
Neighborhood barbecue at local park,Social Life
Dinner reservation at family diner,Food
Nike athletic wear,Apparel
Fee for online learning platform,Education
Allowance for daily needs,Allowance
Inspirational podcast subscription,Education
Clarins face moisturizer,Beauty
Gift for friend's wedding,Gift
Pet grooming set from Chewy,Pet
Monthly utility bill for condo,Household
Taxi fare for night out with friends,Transportation
Office social event at local restaurant,Social Life
Lunch from local deli,Food
Columbia winter collection,Apparel
Fee for academic conference registration,Education
Allowance for weekend activities,Allowance
Self-awareness seminar registration,Education
Burt's Bees face lotion,Beauty
Gift for sister's housewarming,Gift
Pet leash from Amazon,Pet
Monthly utility payment for townhouse,Household
Daily tram ride fare for work commute,Transportation
Community dinner party at local park,Social Life
Dinner at family restaurant,Food
Gap fashion wear,Apparel
Fee for online learning platform,Education
Allowance for new clothes,Allowance
Mindfulness meditation workshop registration,Education
Cetaphil face cleanser,Beauty
Gift card for niece's birthday,Gift
Pet leash from Petco,Pet
Monthly rent payment for loft apartment,Household
Uber fare for weekend outing with friends,Transportation
Friends' gathering at local café,Social Life
Lunch at local diner,Food
Puma casual wear,Apparel
Fee for academic course registration,Education
Allowance for daily needs,Allowance
Inspirational podcast subscription,Education
Nivea face moisturizer,Beauty
Gift for colleague's promotion,Gift
Pet grooming set from Chewy,Pet
Monthly utility bill payment for apartment,Household
Train fare for business travel,Transportation
Neighborhood block party at local park,Social Life
Dinner reservation at local restaurant,Food
Levi's fashion accessories,Apparel
Fee for professional certification course,Education
Allowance for weekend activities,Allowance
Self-development workshop registration,Education
Kiehl's face cleanser,Beauty
Christmas present for colleague,Gift
Pet health checkup at Petco,Pet
Monthly utility payment for townhouse,Household
Uber fare for daily work commute,Transportation
Friends' night out at local club,Social Life
Healthy snacks from local market,Food
Tommy Hilfiger fashion wear,Apparel
Course registration fee for online learning,Education
Allowance for weekend fun,Allowance
Career growth seminar registration,Education
Neutrogena face wash,Beauty
Gift for friend's housewarming party,Gift
Pet leash from PetSmart,Pet
Monthly utility bill for apartment,Household
Daily tram fare for work commute,Transportation
Friends' night out at local club,Social Life
Healthy food from local deli,Food
Ralph Lauren casual wear,Apparel
Fee for professional certification course,Education
Allowance for tech gadgets,Allowance
Self-development workshop registration,Education
Dove face cream,Beauty
Gift for parent's anniversary,Gift
Pet leash from Petco,Pet
Monthly utility payment for apartment,Household
Daily tram fare for work commute,Transportation
Neighborhood barbecue at local park,Social Life
Dinner reservation at family diner,Food
Nike athletic wear,Apparel
Fee for online learning platform,Education
Allowance for daily needs,Allowance
Inspirational podcast subscription,Education
Clarins face moisturizer,Beauty
Gift for friend's wedding,Gift
Pet grooming set from Chewy,Pet
Monthly utility bill for condo,Household
Taxi fare for night out with friends,Transportation
Office social event at local restaurant,Social Life
Lunch from local deli,Food
Columbia winter collection,Apparel
Fee for academic conference registration,Education
Allowance for weekend activities,Allowance
Self-awareness seminar registration,Education
Burt's Bees face lotion,Beauty
Gift for sister's housewarming,Gift
Pet leash from Amazon,Pet
Monthly utility payment for townhouse,Household
Daily tram ride fare for work commute,Transportation
Community dinner party at local park,Social Life
Dinner at family restaurant,Food
Gap fashion wear,Apparel
Fee for online learning platform,Education
Allowance for new clothes,Allowance
Mindfulness meditation workshop registration,Education
Cetaphil face cleanser,Beauty
Gift card for niece's birthday,Gift
Pet leash from Petco,Pet
Monthly rent payment for loft apartment,Household
Uber fare for weekend outing with friends,Transportation
Friends' gathering at local café,Social Life
Lunch at local diner,Food
Puma casual wear,Apparel
Fee for academic course registration,Education
Allowance for daily needs,Allowance
Inspirational podcast subscription,Education
Nivea face moisturizer,Beauty
Gift for colleague's promotion,Gift
Pet grooming set from Chewy,Pet
Monthly utility bill payment for apartment,Household
Train fare for business travel,Transportation
Neighborhood block party at local park,Social Life
Dinner reservation at local restaurant,Food
Levi's fashion accessories,Apparel
Fee for professional certification course,Education
Allowance for weekend activities,Allowance
Self-development workshop registration,Education
Kiehl's face cleanser,Beauty
Christmas present for colleague,Gift
Pet health checkup at Petco,Pet
Monthly utility payment for townhouse,Household
Uber fare for daily work commute,Transportation
Friends' night out at local club,Social Life
Healthy snacks from local market,Food
Tommy Hilfiger fashion wear,Apparel
Course registration fee for online learning,Education
Allowance for weekend fun,Allowance
Career growth seminar registration,Education
Neutrogena face wash,Beauty
Gift for friend's housewarming party,Gift
Pet leash from PetSmart,Pet
Monthly utility bill for apartment,Household
Daily tram fare for work commute,Transportation
Friends' night out at local club,Social Life
Healthy food from local deli,Food
Ralph Lauren casual wear,Apparel
Fee for professional certification course,Education
Allowance for tech gadgets,Allowance
Self-development workshop registration,Education
Dove face cream,Beauty
Gift for parent's anniversary,Gift
Pet leash from Petco,Pet
Monthly utility payment for apartment,Household
Daily tram fare for work commute,Transportation
Neighborhood barbecue at local park,Social Life
Dinner reservation at family diner,Food
Nike athletic wear,Apparel
Fee for online learning platform,Education
Allowance for daily needs,Allowance
Inspirational podcast subscription,Education
Clarins face moisturizer,Beauty
Gift for friend's wedding,Gift
Pet grooming set from Chewy,Pet
Monthly utility bill for condo,Household
Taxi fare for night out with friends,Transportation
Office social event at local restaurant,Social Life
Lunch from local deli,Food
Columbia winter collection,Apparel
Fee for academic conference registration,Education
Allowance for weekend activities,Allowance
Self-awareness seminar registration,Education
Burt's Bees face lotion,Beauty
Gift for sister's housewarming,Gift
Pet leash from Amazon,Pet
Monthly utility payment for townhouse,Household
Daily tram ride fare for work commute,Transportation
Electric bill from PG&E,Household
Movie tickets for Avengers,Entertainment
Monthly gym membership at Planet Fitness,Health
Uber fare to art gallery,Transportation
Dinner at Gordon Ramsay's Hell's Kitchen,Food
Grocery shopping at Aldi,Food
iPhone 13 Pro Max,Other
Dinner at The French Laundry,Food
Weekend getaway to Napa Valley,Other
Yoga mat from Lululemon,Apparel
Online subscription to MasterClass,Education
Allowance for video games,Allowance
Motivational book by Tony Robbins,Education
Facial cleanser from Kiehl's,Beauty
Birthday gift for mom,Gift
Vet checkup at Banfield Pet Hospital,Pet
Monthly rent for penthouse,Household
Flight to New York City,Transportation
Brunch at The Ivy,Social Life
Purchase of a Samsung Smart TV,Other
New winter coat from The North Face,Apparel
Graduate school application fee,Education
Weekly allowance from parents,Allowance
Career coaching session,Education
Hair treatment from Aveda,Beauty
Wedding present for colleague,Gift
Pet grooming at Petco,Pet
Water bill for condo,Household
Train fare to downtown,Transportation
Cocktail night at The Alchemist,Social Life
Dinner at Olive Garden,Food
Nike running shoes,Apparel
Tuition for Coursera specialization,Education
Allowance for lunch,Allowance
Public speaking seminar,Education
Body lotion from L'Occitane,Beauty
Anniversary gift for spouse,Gift
Pet insurance from Healthy Paws,Pet
Home renovation costs,Household
Lyft ride to the airport,Transportation
Dinner at Nobu,Food
Fashion accessories from Zara,Apparel
Online course on Udemy,Education
Allowance for daily snacks,Allowance
Mindfulness retreat in Bali,Education
Night cream from Estée Lauder,Beauty
Christmas gift for niece,Gift
Pet food from Blue Buffalo,Pet
Monthly internet bill from Xfinity,Household
Bus fare for daily commute,Transportation
Weekend trip to Yosemite,Other
Dessert at Ghirardelli,Food
Hiking gear from REI,Apparel
Fee for PMP exam,Education
Allowance for weekend outings,Allowance
Life coaching session,Education
Lipstick from MAC,Beauty
New Year gift for neighbor,Gift
Pet bed from Amazon,Pet
Electric bill from Southern California Edison,Household
Taxi fare to conference,Transportation
Family dinner at home,Food
Winter jacket from Columbia,Apparel
Online subscription to Skillshare,Education
Allowance for movie tickets,Allowance
Personal development workshop,Education
Face mask from The Body Shop,Beauty
Housewarming gift for friend,Gift
Pet vitamins from PetSmart,Pet
Monthly rent for apartment,Household
Train ticket to Chicago,Transportation
Night out at Dave & Buster's,Social Life
Dinner at Cheesecake Factory,Food
Gym clothes from Under Armour,Apparel
Fee for GRE test,Education
Allowance for school supplies,Allowance
Inspirational seminar by Brené Brown,Education
Hair conditioner from Dove,Beauty
Birthday gift for brother,Gift
Pet grooming kit from Chewy,Pet
Gas bill for winter,Household
Rental car for road trip,Transportation
Friends' night out at karaoke,Social Life
Brunch at IHOP,Food
Office wear from Banana Republic,Apparel
Course registration fee on edX,Education
Allowance for tech gadgets,Allowance
Self-help book by James Clear,Education
Serum from The Ordinary,Beauty
Graduation present for cousin,Gift
Pet health checkup at VCA,Pet
Monthly cable bill from Spectrum,Household
Commuter train fare,Transportation
Weekend hiking trip,Other
Gourmet chocolate from Godiva,Food
Designer handbag from Gucci,Apparel
Fee for online degree program,Education
Allowance for family activities,Allowance
Webinar on financial literacy,Education
Body wash from Neutrogena,Beauty
Thank you gift for teacher,Gift
Pet leash from Petco,Pet
Home cleaning service,Household
Scooter rental for city tour,Transportation
Office holiday party,Social Life
Healthy meal kit from HelloFresh,Food
Running shoes from Asics,Apparel
Class fee for pottery workshop,Education
Allowance for daily expenses,Allowance
Workshop on leadership skills,Education
Moisturizer from CeraVe,Beauty
Christmas gift for grandma,Gift
Pet grooming session at PetSmart,Pet
Monthly water bill for house,Household
Taxi ride to hotel,Transportation
Birthday party at Chuck E. Cheese's,Social Life
Dinner at Red Lobster,Food
Casual wear from H&M,Apparel
Fee for professional certification,Education
Allowance for extracurricular activities,Allowance
Motivational talk by Simon Sinek,Education
Sunscreen from La Roche-Posay,Beauty
Gift for coworker's baby shower,Gift
Pet food from Royal Canin,Pet
Monthly gas bill for apartment,Household
Ride-sharing fare with Lyft,Transportation
Community festival tickets,Social Life
Lunch at Shake Shack,Food
Dress shoes from Clarks,Apparel
Online subscription to The New York Times,Education
Allowance for weekend adventures,Allowance
Career advancement course on LinkedIn Learning,Education
Face serum from Olay,Beauty
Gift for dad's birthday,Gift
Pet healthcare products from Petco,Pet
Home improvement store bill from Home Depot,Household
Bus fare to work,Transportation
Friends' movie night at AMC,Social Life
Dinner at P.F. Chang's,Food
Outdoor gear from Patagonia,Apparel
Exam fee for CFA certification,Education
Allowance for daily coffee,Allowance
Personal finance class on Coursera,Education
Anti-aging cream from Neutrogena,Beauty
Gift for boss's retirement,Gift
Pet travel carrier from PetSmart,Pet
Monthly mortgage payment,Household
Train fare for daily commute,Transportation
Neighborhood block party,Social Life
Brunch at local café,Food
Formal attire from Brooks Brothers,Apparel
Fee for professional development course,Education
Allowance for gym membership,Allowance
Self-improvement book by Dale Carnegie,Education
Hand cream from Burt's Bees,Beauty
Gift for anniversary,Gift
Pet supplements from Chewy,Pet
Monthly rent for duplex,Household
Electric scooter rental for commute,Transportation
Family picnic at the park,Social Life
Organic groceries from Whole Foods,Food
Fashionable jacket from Zara,Apparel
Registration fee for coding bootcamp,Education
Allowance for hobby supplies,Allowance
Workshop on time management,Education
Hair mask from Pantene,Beauty
Graduation gift for nephew,Gift
Pet grooming appointment at PetSmart,Pet
Home security system bill from ADT,Household
Daily train fare to university,Transportation
Friends' dinner party at home,Social Life
Dinner at The Melting Pot,Food
Designer jeans from Levi's,Apparel
Online course subscription on Lynda,Education
Allowance for school trips,Allowance
Life coaching session with Tony Robbins,Education
Facial oil from The Body Shop,Beauty
New Year's gift for siblings,Gift
Pet care kit from Chewy,Pet
Monthly utility bill from Con Edison,Household
Taxi fare for night out,Transportation
Team-building event at local escape room,Social Life
Lunch at Panera Bread,Food
Winter coat from Canada Goose,Apparel
Tuition fee for online master's degree,Education
Allowance for fitness classes,Allowance
Inspirational workshop by Mel Robbins,Education
Eye cream from L'Oréal,Beauty
Gift card for dad's birthday,Gift
Pet grooming set from PetSmart,Pet
Monthly utility bill from Duke Energy,Household
Ride-hailing fare with Uber,Transportation
Holiday party with colleagues,Social Life
Dinner at Morton’s Steakhouse,Food
Yoga pants from Athleta,Apparel
Fee for professional exam,Education
Allowance for tech subscriptions,Allowance
Motivational book by Rachel Hollis,Education
Face scrub from St. Ives,Beauty
Valentine's Day gift for partner,Gift
Pet vitamins from Petco,Pet
Monthly rent for townhouse,Household
Commuter pass for subway,Transportation
Friends' game night at home,Social Life
Lunch at Subway,Food
Office attire from Ann Taylor,Apparel
Fee for continuing education course,Education
Allowance for weekend getaways,Allowance
Career coaching session on LinkedIn,Education
Body lotion from Aveeno,Beauty
Birthday present for friend,Gift
Pet health insurance from Nationwide,Pet
Home cleaning service fee,Household
Train ticket for weekend trip,Transportation
Family vacation to Disneyland,Other
Gourmet meal from Plated,Food
Running gear from Nike,Apparel
Class fee for dance workshop,Education
Allowance for lunch breaks,Allowance
Personal growth seminar by Oprah Winfrey,Education
Serum from Drunk Elephant,Beauty
Holiday gift for coworkers,Gift
Pet grooming tools from Chewy,Pet
Monthly electric bill from PG&E,Household
Bus fare for commute,Transportation
Friends' potluck dinner,Social Life
Dinner at Outback Steakhouse,Food
Dress from Forever 21,Apparel
Registration fee for yoga teacher training,Education
Allowance for weekend activities,Allowance
Inspirational talk by Gary Vaynerchuk,Education
Face cream from Clinique,Beauty
Housewarming present for neighbor,Gift
Pet supplies from Petco,Pet
Monthly utility bill from Southern California Edison,Household
Lyft ride to concert,Transportation
Office happy hour,Social Life
Lunch at The Cheesecake Factory,Food
Fashion accessories from Zara,Apparel
Online course subscription to MasterClass,Education
Allowance for gym membership,Allowance
Self-help book by Brené Brown,Education
Hair treatment from Aveda,Beauty
